DisplayImage,corrAns,ishihara_pics.thisRepN,ishihara_pics.thisTrialN,ishihara_pics.thisN,ishihara_pics.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,demographics.started,demographics.stopped,demographic_form.index,demographic_form.itemText,demographic_form.type,demographic_form.font,demographic_form.markerColor,demographic_form.response,demographic_form.rt,education.started,education.stopped,edu_form.index,edu_form.itemText,edu_form.type,edu_form.font,edu_form.markerColor,edu_form.response,edu_form.rt,Ishihara.started,Ishihara.stopped,ishihara_number.text,no_text_blocks_self_paced.started,no_text_blocks_self_paced.stopped,text_blocks_self_paced.started,colour,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr,block_name,block_kind,word,global_onset_time,question,button_pressed,chosen_ans,ans_correct,block_nr_exp,n-back_level,text_blocks_self_paced.stopped,text_blocks_paced.started,text_blocks_paced.stopped,no_text_blocks_paced.started,no_text_blocks_paced.stopped,pseudotext.started,pseudotext.stopped,curr_0back_target,RT_per_letter_baseline,RT_per_letter_0back,RT_per_rect_1back_single,RT_per_letter_1bck,RT_per_rect_2back_single,RT_per_letter_2bck,participant,testing_mode,date,expName,psychopyVersion,expStart
,,,,,,,,,,,,0.015191078186035,0.015490055084229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,0.015505075454712,71.0502991676331,0,Willkommen zum Experiment!,heading,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,0,Bitte beantworten Sie zunächst die folgenden Fragen:,description,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,gender,Welches Geschlecht steht in Ihrem Ausweis?,radio,None,None,Männlich,51.9130389690399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,age,Wie alt sind Sie?,free text,None,None,50,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,language,Ist Deutsch Ihre Muttersprache?,radio,None,None,Ja,55.7799770832062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,dyslexia,Haben Sie eine Leseschwäche?,radio,None,None,Nein,59.1691880226135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,vision_glasses,Tragen Sie eine Brille?,radio,None,None,Ja,9.17662405967712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,vision_lenses,Tragen Sie Kontaktlinsen?,radio,None,None,Nein,11.2654991149902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,handedness,Sind Sie rechtshändig?,radio,None,None,Ja,11.9275979995728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,71.0504400730133,119.628092050552,0,Bitte beantworten Sie die folgenden Fragen zu Ihrer Ausbildung:,description,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,education,Was ist Ihr höchster Bildungsabschluss?,radio,None,None,abgeschlossenes Studium,4.36491012573242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,edu_intro,Wie viele Jahre verbrachten Sie insgesamt mit:,description,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,edu_school_years,Schule,free text,None,None,12,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,edu_eveningschool_years,Abendschule,free text,None,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,edu_training_years,Ausbildung,free text,None,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,edu_training_GDR_years,Fachschule,free text,None,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,edu_uni_years,Universität/Hochschule,free text,None,None,6,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,edu_other_years,Sonstiges,free text,None,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,edu_profession,Was ist Ihr derzeitiger/letzter Beruf?,free text,None,None,Architekt,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test6_15.png,15,0,0,0,5,,,,,127.192031145096,,,,,,,,,,,,,,,,,,,,,,127.119373083115,130.14737200737,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test2_17.png,17,0,1,1,1,,,,,131.198549985886,,,,,,,,,,,,,,,,,,,,,,131.148972988129,136.376103162766,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test5_23.png,23,0,2,2,4,,,,,137.427324056625,,,,,,,,,,,,,,,,,,,,,,137.377762079239,140.016561985016,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test4_78.png,78,0,3,3,3,,,,,141.069021940231,,,,,,,,,,,,,,,,,,,,,,141.019376039505,143.773834943771,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test1_70.png,70,0,4,4,0,,,,,144.82505106926,,,,,,,,,,,,,,,,,,,,,,144.775498151779,147.614665031433,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test3_21.png,21,0,5,5,2,,,,,148.667139053345,,,,,,,,,,,,,,,,,,,,,,148.617483139038,151.338557958603,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,152.356590986252,,,,,,,,,,,,,,,,,,,,,,,,,152.340504169464,152.356663942337,152.356673955917,#2AB7EF,None,None,None,1317.47698783875,reading_bl_training_text,1,0,Reading_Baseline_training_click,None,Auf,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,732.076168060303,reading_bl_training_text,2,0,Reading_Baseline_training_click,None,dem,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,714.432954788208,reading_bl_training_text,3,0,Reading_Baseline_training_click,None,großen,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,764.364004135132,reading_bl_training_text,4,0,Reading_Baseline_training_click,None,"Passagierdampfer,",,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,649.039030075073,reading_bl_training_text,5,0,Reading_Baseline_training_click,None,der,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,632.372140884399,reading_bl_training_text,6,0,Reading_Baseline_training_click,None,um,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,564.46099281311,reading_bl_training_text,7,0,Reading_Baseline_training_click,None,Mitternacht,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,498.566865921021,reading_bl_training_text,8,0,Reading_Baseline_training_click,None,von,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,448.342084884644,reading_bl_training_text,9,0,Reading_Baseline_training_click,None,New,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,498.112916946411,reading_bl_training_text,10,0,Reading_Baseline_training_click,None,York,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,649.156093597412,reading_bl_training_text,11,0,Reading_Baseline_training_click,None,nach,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,681.849002838135,reading_bl_training_text,12,0,Reading_Baseline_training_click,None,Buenos,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,582.211017608643,reading_bl_training_text,13,0,Reading_Baseline_training_click,None,Aires,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,665.222883224487,reading_bl_training_text,14,0,Reading_Baseline_training_click,None,abgehen,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,631.649971008301,reading_bl_training_text,15,0,Reading_Baseline_training_click,None,"sollte,",,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,531.678915023804,reading_bl_training_text,16,0,Reading_Baseline_training_click,None,herrschte,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,548.927783966064,reading_bl_training_text,17,0,Reading_Baseline_training_click,None,die,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,548.3078956604,reading_bl_training_text,18,0,Reading_Baseline_training_click,None,übliche,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,597.851037979126,reading_bl_training_text,19,0,Reading_Baseline_training_click,None,Geschäftigkeit,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,565.608024597168,reading_bl_training_text,20,0,Reading_Baseline_training_click,None,und,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,581.879138946533,reading_bl_training_text,21,0,Reading_Baseline_training_click,None,Bewegung,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,616.137981414795,reading_bl_training_text,22,0,Reading_Baseline_training_click,None,der,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,547.531843185425,reading_bl_training_text,23,0,Reading_Baseline_training_click,None,letzten,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,532.047033309937,reading_bl_training_text,24,0,Reading_Baseline_training_click,None,Stunde.,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,849.338054656982,reading_bl_training_text,25,0,Reading_Baseline_training_click,None,Gäste,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,598.68597984314,reading_bl_training_text,26,0,Reading_Baseline_training_click,None,vom,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,465.712070465088,reading_bl_training_text,27,0,Reading_Baseline_training_click,None,Land,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
