DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	testing_mode	date	expName	psychopyVersion	expStart	
												0.015144824981689453	0.015484809875488281																																																											OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
														0.015497922897338867	56.90625500679016	0.0	Willkommen zum Experiment!	heading	None	None																																																				OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																0.0	Bitte beantworten Sie zunächst die folgenden Fragen:	description	None	None																																																				OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																gender	Welches Geschlecht steht in Ihrem Ausweis?	radio	None	None	Weiblich	10.050299167633057																																																		OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																age	Wie alt sind Sie?	free text	None	None	71	None																																																		OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																language	Ist Deutsch Ihre Muttersprache?	radio	None	None	Ja	26.456214904785156																																																		OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																dyslexia	Haben Sie eine Leseschwäche?	radio	None	None	Nein	30.296255111694336																																																		OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																vision_glasses	Tragen Sie eine Brille?	radio	None	None	Ja	11.890719890594482																																																		OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																vision_lenses	Tragen Sie Kontaktlinsen?	radio	None	None	Nein	21.318156957626343																																																		OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																handedness	Sind Sie rechtshändig?	radio	None	None	Ja	25.610877990722656																																																		OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																																																																								OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																							56.90639686584473	175.97148990631104	0.0	Bitte beantworten Sie die folgenden Fragen zu Ihrer Ausbildung:	description	None	None																																											OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																									education	Was ist Ihr höchster Bildungsabschluss?	radio	None	None	abgeschlossenes Studium	7.640377044677734																																									OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																									edu_intro	Wie viele Jahre verbrachten Sie insgesamt mit:	description	None	None																																											OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																									edu_school_years	Schule	free text	None	None	13	None																																									OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																									edu_eveningschool_years	Abendschule	free text	None	None	0	None																																									OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																									edu_training_years	Ausbildung	free text	None	None	0	None																																									OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																									edu_training_GDR_years	Fachschule	free text	None	None	0	None																																									OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
																									edu_uni_years	Universität/Hochschule	free text	None	None	10	None																																									OA03	no	2024-08-26_09h24.51.760	EXNAT_3_training	2024.1.0	2024-08-26 09h39.27.655903 +0200	
