,word_punct,word_no_punct,text_nr,trial_nr,surprisal_1,surprisal_4,surprisal_12,surprisal_60
0,Beim,Beim,text_01,1,,,,
1,Anblick,Anblick,text_01,2,7.867148549533879,,,
2,der,der,text_01,3,14.21349493094116,,,
3,Tiere,Tiere,text_01,4,10.645969618080839,,,
4,wird,wird,text_01,5,13.916182422780194,17.488095168917468,,
5,"klar,",klar,text_01,6,20.620982610690863,22.483387642924402,,
6,warum,warum,text_01,7,12.455733122284288,17.348224030468035,,
7,die,die,text_01,8,10.587905152301417,18.024098839986177,,
8,Seeleute,Seeleute,text_01,9,13.259170398422285,13.919994328751354,,
9,vergangener,vergangener,text_01,10,13.68638517272242,16.829533604907745,,
10,Jahrhunderte,Jahrhunderte,text_01,11,8.958362161164716,12.889103768467484,,
11,Angst,Angst,text_01,12,19.76879726680198,20.65570350263102,,
12,vor,vor,text_01,13,18.455106069032222,20.080130323642436,22.564931730406414,
13,Seeungeheuern,Seeungeheuern,text_01,14,9.430633384181798,11.839946982858331,9.62330399301663,
14,hatten.,hatten,text_01,15,9.040699710777945,7.262778359777134,12.25370293806383,
15,Meterlange,Meterlange,text_01,16,18.671508283256372,21.40519412716531,20.76372074862193,
16,"Fangarme,",Fangarme,text_01,17,18.359208052878106,13.803960431241626,24.40734877045295,
17,spitze,spitze,text_01,18,17.96013811401595,17.20792543240625,18.543605892124265,
18,Mäuler,Mäuler,text_01,19,13.059532919560468,15.666598396268101,17.475098789158796,
19,und,und,text_01,20,12.15178668731596,14.050278663491177,10.11948643879544,
20,riesige,riesige,text_01,21,10.843491201227815,9.241395897191836,15.356655067428761,
21,Augen,Augen,text_01,22,15.547061407682227,18.798172198432184,17.55916056282,
22,verleihen,verleihen,text_01,23,16.146348485777246,12.653200661997857,11.789702372605092,
23,den,den,text_01,24,11.876416196133198,10.299022954870695,13.535490186748278,
24,großen,großen,text_01,25,23.23163052541839,21.18679275582935,24.096480103712054,
25,Kalmaren,Kalmaren,text_01,26,16.229071211329405,23.020142997349055,23.831992403114178,
26,ein,ein,text_01,27,15.33452607165461,7.738076263642102,11.691584786815982,
27,furchterregendes,furchterregendes,text_01,28,11.615459998815874,14.215697302453105,12.767031080364912,
28,Aussehen.,Aussehen,text_01,29,12.808266666555008,11.88390271272903,14.06035463505004,
29,Vor,Vor,text_01,30,10.822055820387142,12.29205770549836,18.388427413389827,
30,der,der,text_01,31,16.697386307614316,12.602166892894008,13.769765300310503,
31,Küste,Küste,text_01,32,7.322319890980247,11.475098467580837,8.2649979528605,
32,Chiles,Chiles,text_01,33,10.816113222215648,17.47982534393662,13.586650041294604,
33,sind,sind,text_01,34,19.958890244874762,17.030137147097665,13.954662463504349,
34,sie,sie,text_01,35,14.24970033753849,11.353274244585464,25.90615923678496,
35,aktuell,aktuell,text_01,36,12.188674025352912,12.097299376522475,7.6894956102033385,
36,in,in,text_01,37,20.620982610690863,18.69312214947531,12.248846331997832,
37,Massen,Massen,text_01,38,10.463492277629776,9.26444241840336,10.402924606993894,
38,zu,zu,text_01,39,15.114657120246006,18.057012551804984,30.340197811147576,
