;word;text_nr;word_frequency;trial_nr
0;Beim;text_01;0.000871;1
1;Anblick;text_01;1.29e-05;2
2;der;text_01;0.0288;3
3;Tiere;text_01;7.08e-05;4
4;wird;text_01;0.00316;5
5;klar;text_01;0.000363;6
6;warum;text_01;0.000562;7
7;die;text_01;0.0302;8
8;Seeleute;text_01;1.29e-06;9
9;vergangener;text_01;2.63e-06;10
10;Jahrhunderte;text_01;1.07e-05;11
11;Angst;text_01;0.000148;12
12;vor;text_01;0.00204;13
13;Seeungeheuern;text_01;1.91e-08;14
14;hatten;text_01;0.000331;15
15;Meterlange;text_01;6.03e-08;16
16;Fangarme;text_01;7.41e-08;17
17;spitze;text_01;5.5e-05;18
18;Mäuler;text_01;3.09e-07;19
19;und;text_01;0.0263;20
20;riesige;text_01;1.95e-05;21
21;Augen;text_01;0.000178;22
22;verleihen;text_01;9.55e-06;23
23;den;text_01;0.01;24
24;großen;text_01;0.000355;25
25;Kalmaren;text_01;0.0;26
26;ein;text_01;0.00813;27
27;furchterregendes;text_01;4.27e-08;28
28;Aussehen;text_01;6.03e-05;29
29;Vor;text_01;0.00204;30
30;der;text_01;0.0288;31
31;Küste;text_01;2e-05;32
32;Chiles;text_01;8.32e-07;33
33;sind;text_01;0.00398;34
34;sie;text_01;0.00661;35
35;aktuell;text_01;7.94e-05;36
36;in;text_01;0.0174;37
37;Massen;text_01;1.51e-05;38
38;zu;text_01;0.0102;39
39;sehen;text_01;0.00049;40
40;Hunderte;text_01;1.95e-05;41
41;von;text_01;0.00977;42
42;riesigen;text_01;1.95e-05;43
43;Tintenfischen;text_01;8.71e-08;44
44;schwimmen;text_01;2.4e-05;45
45;in;text_01;0.0174;46
46;den;text_01;0.01;47
47;flachen;text_01;7.24e-06;48
48;Gewässern;text_01;3.72e-06;49
49;und;text_01;0.0263;50
50;fressen;text_01;1.35e-05;51
51;dort;text_01;0.000603;52
52;die;text_01;0.0302;53
53;Fische;text_01;1.48e-05;54
54;Normalerweise;text_01;3.24e-05;55
55;sind;text_01;0.00398;56
56;die;text_01;0.0302;57
57;großen;text_01;0.000355;58
58;Kalmare;text_01;3.55e-08;59
59;nur;text_01;0.00331;60
60;schwer;text_01;0.000195;61
61;zu;text_01;0.0102;62
62;beobachten;text_01;3.16e-05;63
63;Sie;text_01;0.00661;64
64;leben;text_01;0.000724;65
65;eigentlich;text_01;0.00038;66
66;im;text_01;0.00724;67
67;offenen;text_01;3.8e-05;68
68;Meer;text_01;5.25e-05;69
69;Nur;text_01;0.00331;70
70;nachts;text_01;3.89e-05;71
71;kommen;text_01;0.000513;72
72;sie;text_01;0.00661;73
73;an;text_01;0.0049;74
74;die;text_01;0.0302;75
75;Oberfläche;text_01;2.34e-05;76
76;um;text_01;0.00288;77
77;kleine;text_01;0.000263;78
78;Fische;text_01;1.48e-05;79
79;zu;text_01;0.0102;80
80;jagen;text_01;1.05e-05;81
81;Seit;text_01;0.000813;82
82;zwei;text_01;0.000871;83
83;Wochen;text_01;0.000182;84
84;aber;text_01;0.00427;85
85;sind;text_01;0.00398;86
86;sie;text_01;0.00661;87
87;auch;text_01;0.00603;88
88;bei;text_01;0.00457;89
89;Tageslicht;text_01;5.01e-06;90
90;vor;text_01;0.00204;91
91;der;text_01;0.0288;92
92;Küste;text_01;2e-05;93
93;zu;text_01;0.0102;94
94;sehen;text_01;0.00049;95
95;Zunächst;text_01;0.000174;96
96;wurden;text_01;0.000646;97
97;mehr;text_01;0.00214;98
98;als;text_01;0.00513;99
99;200;text_01;5.28e-06;100
100;Kalmare;text_01;3.55e-08;101
101;vor;text_01;0.00204;102
102;einer;text_01;0.00263;103
103;Insel;text_01;5.89e-05;104
104;vor;text_01;0.00204;105
105;Chile;text_01;7.94e-06;106
106;gesichtet;text_01;5.13e-06;107
107;Später;text_01;0.000316;108
108;wurden;text_01;0.000646;109
109;dann;text_01;0.00224;110
110;weitere;text_01;0.000309;111
111;Kalmare;text_01;3.55e-08;112
112;an;text_01;0.0049;113
113;anderen;text_01;0.000692;114
114;Orten;text_01;2.69e-05;115
115;entlang;text_01;4.37e-05;116
116;der;text_01;0.0288;117
117;Küste;text_01;2e-05;118
118;Chiles;text_01;8.32e-07;119
119;beobachtet;text_01;3.24e-05;120
120;Vor;text_01;0.00204;121
121;allem;text_01;0.00038;122
122;für;text_01;0.00759;123
123;die;text_01;0.0302;124
124;Fischer;text_01;4.17e-05;125
125;ist;text_01;0.012;126
126;das;text_01;0.0145;127
127;ärgerlich;text_01;7.08e-06;128
128;Die;text_01;0.0302;129
129;Kalmare;text_01;3.55e-08;130
130;fressen;text_01;1.35e-05;131
131;Hechte;text_01;3.55e-07;132
