,Edited text,text_nr,Word frequency
0,Ältere,1,3.55E-05
1,Leitkühe,1,0
2,treffen,1,0.000178
3,bessere,1,5.37E-05
4,Entscheidungen,1,3.98E-05
5,für,1,0.00759
6,ihre,1,0.00115
7,Herde,1,4.9E-06
8,als,1,0.00513
9,junge,1,0.000204
10,Die,1,0.0302
11,Chefin,1,9.33E-06
12,der,1,0.0288
13,Elefanten,1,7.59E-06
14,muss,1,0.00132
15,wichtige,1,7.41E-05
16,Entscheidungen,1,3.98E-05
17,für,1,0.00759
18,die,1,0.0302
19,Gemeinschaft,1,3.31E-05
20,treffen,1,0.000178
21,beispielsweise,1,9.77E-05
22,wohin,1,3.16E-05
23,die,1,0.0302
24,Herde,1,4.9E-06
25,geht,1,0.001
26,oder,1,0.00316
27,wie,1,0.00447
28,man,1,0.00288
29,sich,1,0.00617
30,gegen,1,0.00107
31,Löwen,1,2.09E-05
32,verteidigt,1,1.45E-05
33,Biologen,1,1.78E-06
34,konnten,1,0.000145
35,in,1,0.0174
36,Kenia,1,4.79E-06
37,zeigen,1,0.000195
38,dass,1,0.0049
39,die,1,0.0302
40,älteren,1,3.55E-05
41,Tiere,1,7.08E-05
42,ihre,1,0.00115
43,Herden,1,1.45E-06
44,beim,1,0.000871
45,Gebrüll,1,9.77E-07
46,eines,1,0.000813
47,männlichen,1,1.51E-05
48,Löwen,1,2.09E-05
49,stärker,1,5.13E-05
50,warnen,1,1.2E-05
51,als,1,0.00513
52,bei,1,0.00457
53,dem,1,0.00575
54,einer,1,0.00263
55,Löwin,1,5.75E-07
56,Denn,1,0.000933
57,Löwen,1,2.09E-05
58,sind,1,0.00398
59,für,1,0.00759
60,junge,1,0.000204
61,Elefanten,1,7.59E-06
62,gefährlicher,1,9.33E-06
63,Jüngere,1,1.45E-05
64,Chefinnen,1,9.77E-08
65,machten,1,3.31E-05
66,diesen,1,0.000513
67,Unterschied,1,6.92E-05
68,kaum,1,0.000234
69,Afrikanische,1,6.31E-06
70,Elefanten,1,7.59E-06
71,können,1,0.00132
72,in,1,0.0174
73,freier,1,2.34E-05
74,Wildbahn,1,1.26E-06
75,bis,1,0.0017
76,zu,1,0.0102
77,70,1,5.08E-05
78,Jahre,1,0.000661
79,alt,1,0.000145
80,werden,1,0.00309
81,Die,1,0.0302
82,nützliche,1,4.57E-06
83,Erfahrung,1,9.33E-05
84,älterer,1,8.32E-06
85,Tiere,1,7.08E-05
86,könnte,1,0.00049
87,ein,1,0.00813
88,Grund,1,0.000234
89,dafür,1,0.000479
90,sein,1,0.00209
91,In,2,0.0174
92,Tansania,2,2.24E-06
93,haben,2,0.00282
94,Forscher,2,2.29E-05
95,Überreste,2,4.37E-06
96,eines,2,0.000813
97,UrzeitKrokodils,2,0
98,entdeckt,2,5.62E-05
99,Es,2,0.00871
100,zeigt,2,0.000219
101,Ähnlichkeiten,2,2.82E-06
102,zu,2,0.0102
103,Säugetieren,2,8.32E-07
104,Es,2,0.00871
105,war,2,0.00339
106,so,2,0.0049
107,groß,2,0.000162
108,wie,2,0.00447
109,eine,2,0.00631
110,Katze,2,3.09E-05
111,Das,2,0.0145
112,Tier,2,4.07E-05
113,lebte,2,2.14E-05
114,vor,2,0.00204
115,etwa,2,0.000417
116,105,2,9.06E-06
117,Millionen,2,0.000178
118,Jahren,2,0.000676
119,und,2,0.0263
120,jagte,2,1.91E-06
121,an,2,0.0049
122,Land,2,0.000295
123,nach,2,0.00363
124,Insekten,2,1E-05
125,und,2,0.0263
126,kleinen,2,0.000219
127,Tieren,2,2.19E-05
128,Es,2,0.00871
129,besaß,2,1.12E-05
130,ungewöhnliche,2,7.24E-06
131,Merkmale,2,1.58E-05
132,wie,2,0.00447
133,weniger,2,0.000263
134,Zähne,2,2.09E-05
135,und,2,0.0263
136,hatte,2,0.00115
137,Backenzähne,2,3.55E-07
138,zum,2,0.00257
139,Kauen,2,2.24E-06
140,von,2,0.00977
141,Nahrung,2,1.7E-05
142,Außerdem,2,0.00024
143,war,2,0.00339
144,es,2,0.00871
145,weniger,2,0.000263
146,gepanzert,2,3.16E-07
147,Die,2,0.0302
148,Forscher,2,2.29E-05
149,denken,2,0.00017
150,dass,2,0.0049
151,Krokodile,2,9.77E-07
152,in,2,0.0174
153,der,2,0.0288
154,Vergangenheit,2,6.17E-05
155,auf,2,0.00776
156,der,2,0.0288
157,Südhalbkugel,2,3.02E-07
158,lebten,2,1.26E-05
159,während,2,0.000479
160,sich,2,0.00617
161,Säugetiere,2,1.45E-06
162,auf,2,0.00776
163,der,2,0.0288
164,Nordhalbkugel,2,3.31E-07
165,ausbreiteten,2,1.62E-07
166,Die,2,0.0302
167,Forscher,2,2.29E-05
168,werden,2,0.00309
169,in,2,0.0174
170,Zukunft,2,0.000162
171,versuchen,2,0.00011
172,mehr,2,0.00214
173,über,2,0.00245
174,die,2,0.0302
175,frühe,2,1.29E-05
176,Tierwelt,2,2.19E-06
177,auf,2,0.00776
178,der,2,0.0288
179,Südhalbkugel,2,3.02E-07
180,zu,2,0.0102
181,erfahren,2,7.94E-05
182,OrangUtans,3,1.29E-08
183,bauen,3,6.46E-05
184,sich,3,0.00617
185,jede,3,0.0002
186,Nacht,3,0.000229
187,gemütliche,3,2.29E-06
188,Schlafnester,3,0
189,hoch,3,0.000191
190,in,3,0.0174
191,den,3,0.01
192,Bäumen,3,1.26E-05
193,Diese,3,0.00158
194,Nester,3,1.66E-06
195,bestehen,3,6.92E-05
196,aus,3,0.00398
197,Ästen,3,1.58E-06
198,und,3,0.0263
199,Blättern,3,6.92E-06
200,und,3,0.0263
201,bieten,3,6.46E-05
202,den,3,0.01
203,Affen,3,1.15E-05
204,Komfort,3,3.72E-06
205,und,3,0.0263
206,Schutz,3,6.92E-05
207,Forscher,3,2.29E-05
208,haben,3,0.00282
209,entdeckt,3,5.62E-05
210,dass,3,0.0049
211,OrangUtans,3,1.29E-08
212,sehr,3,0.00138
213,geschickt,3,4.07E-05
214,vorgehen,3,2.75E-05
215,Sie,3,0.00661
216,wählen,3,8.91E-05
217,stabile,3,6.76E-06
218,Äste,3,3.72E-06
219,aus,3,0.00398
220,und,3,0.0263
221,biegen,3,3.8E-06
222,diese,3,0.00158
223,ohne,3,0.000891
224,sie,3,0.00661
225,ganz,3,0.000955
226,zu,3,0.0102
227,brechen,3,2.04E-05
