loop_run1_single_reading.thisRepN,loop_run1_single_reading.thisTrialN,loop_run1_single_reading.thisN,loop_run1_single_reading.thisIndex,TriggerCount,TriggerTime,colour,global_onset_time,onset_time_rel2trigger,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr_exp,run_nr,block_nr_run,block_name,n-back_level,word,question,chosen_ans,ans_correct,participant,session,testing_mode,RT_per_rectangle_oneback_single,RT_per_rectangle_twoback_single,RT_per_letter_baseline,RT_per_letter_oneback_dual,RT_per_letter_twoback_dual,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,33.456223011016846,#F989A2,44.30656599998474,10.850342988967896,None,None,None,458.8751059801299,text_10,1,1,1,1,Reading_Baseline_main_no_click,None,Von,,,,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
0,0,0,0,,,#D292F3,44.77280521392822,11.316582202911377,None,None,None,504.849412119069,text_10,2,1,1,1,Reading_Baseline_main_no_click,None,außen,,,,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
0,0,0,0,,,#88BA3F,45.288968086242676,11.83274507522583,None,None,None,458.8751059801299,text_10,3,1,1,1,Reading_Baseline_main_no_click,None,ist,,,,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
0,0,0,0,,,#D292F3,45.755496978759766,12.29927396774292,None,None,None,521.2583522305249,text_10,4,1,1,1,Reading_Baseline_main_no_click,None,nichts,,,,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
0,0,0,0,,,,46.33316612243652,12.876943111419678,,,,,text_10,,1,1,1,Reading_Baseline_main_no_click,None,,Q1,d,False,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
0,0,0,0,,,,57.074527978897095,23.61830496788025,,,,,text_10,,1,1,1,Reading_Baseline_main_no_click,None,,Q2,c,False,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
0,0,0,0,,,,67.91770911216736,34.46148610115051,,,,,text_10,,1,1,1,Reading_Baseline_main_no_click,None,,Q3,a,False,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
1,0,1,0,,,#2AB7EF,87.61588501930237,54.15966200828552,None,None,None,458.8751059801299,pseudo_text_03,1,2,1,2,Reading_pseudotext_no_click,None,Die,,,,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
1,0,1,0,,,#88BA3F,88.079833984375,54.623610973358154,None,None,None,575.8105745518534,pseudo_text_03,2,2,1,2,Reading_pseudotext_no_click,None,wostorinnte,,,,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
1,0,1,0,,,#88BA3F,88.66135215759277,55.20512914657593,None,None,None,504.849412119069,pseudo_text_03,3,2,1,2,Reading_pseudotext_no_click,None,Stoyt,,,,YA00,001,yes,90,90,90,90,90,2024-07-30_17h25.46.568,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,60.010702134417656,
