loop_run1_single_reading.thisRepN,loop_run1_single_reading.thisTrialN,loop_run1_single_reading.thisN,loop_run1_single_reading.thisIndex,loop_run2_single_nback.thisRepN,loop_run2_single_nback.thisTrialN,loop_run2_single_nback.thisN,loop_run2_single_nback.thisIndex,TriggerCount,TriggerTime,colour,global_onset_time,onset_time_rel2trigger,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr_exp,run_nr,block_nr_run,block_name,n-back_level,word,question,button_pressed,chosen_ans,ans_correct,participant,session,testing_mode,RT_per_rectangle_oneback_single,RT_per_rectangle_twoback_single,RT_per_letter_baseline,RT_per_letter_oneback_dual,RT_per_letter_twoback_dual,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,1,2.030547857284546,#F989A2,6.131474018096924,4.100926160812378,None,None,None,450.0,text_06,1,1,1,1,Reading_Baseline_main_no_click,None,In,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
0,0,0,0,,,,,,,#2AB7EF,6.5981199741363525,4.567572116851807,None,None,None,458.8751059801299,text_06,2,1,1,1,Reading_Baseline_main_no_click,None,den,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
0,0,0,0,,,,,,,#D292F3,7.065582990646362,5.035035133361816,None,None,None,557.7502119602598,text_06,3,1,1,1,Reading_Baseline_main_no_click,None,siebziger,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
0,0,0,0,,,,,,,#88BA3F,7.631589889526367,5.601042032241821,None,None,None,521.2583522305249,text_06,4,1,1,1,Reading_Baseline_main_no_click,None,Jahren,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
0,0,0,0,,,,,,,,8.216569900512695,6.186022043228149,,,,,text_06,,1,1,1,Reading_Baseline_main_no_click,None,,Q1,3,c,False,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
0,0,0,0,,,,,,,,14.291457891464233,12.260910034179688,,,,,text_06,,1,1,1,Reading_Baseline_main_no_click,None,,Q2,3,c,True,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
0,0,0,0,,,,,,,,20.174359798431396,18.14381194114685,,,,,text_06,,1,1,1,Reading_Baseline_main_no_click,None,,Q3,NA,NA,False,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
1,0,1,0,,,,,,,#F989A2,32.27810502052307,30.247557163238525,None,None,None,458.8751059801299,pseudo_text_05,1,2,1,2,Reading_pseudotext_no_click,None,Die,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
1,0,1,0,,,,,,,#D292F3,32.74220681190491,30.71165895462036,None,None,None,583.64159848092,pseudo_text_05,2,2,1,2,Reading_pseudotext_no_click,None,"Amelniböste,",,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
1,0,1,0,,,,,,,#F989A2,33.341556787490845,31.3110089302063,None,None,None,521.2583522305249,pseudo_text_05,3,2,1,2,Reading_pseudotext_no_click,None,welche,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
1,0,1,0,,,,,,,#88BA3F,33.874337911605835,31.84379005432129,None,None,None,521.2583522305249,pseudo_text_05,4,2,1,2,Reading_pseudotext_no_click,None,stetom,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
,,,,0,0,0,0,1,37.17131280899048,#F989A2,39.420997858047485,2.249685049057007,False,correct rejection,None,90.0,,1,3,2,1,2back_single_main_no_click,2,,,NA,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
,,,,0,0,0,0,,,#88BA3F,39.73767399787903,2.56636118888855,False,correct rejection,None,90.0,,2,3,2,1,2back_single_main_no_click,2,,,NA,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
,,,,0,0,0,0,,,#F989A2,40.05401396751404,2.8827011585235596,True,miss,None,90.0,,3,3,2,1,2back_single_main_no_click,2,,,NA,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
,,,,0,0,0,0,,,#D292F3,40.37060785293579,3.1992950439453125,False,correct rejection,None,90.0,,4,3,2,1,2back_single_main_no_click,2,,,NA,,,ya26,001,yes,90,90,90,90,90,2024-07-30_18h08.13.826,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,59.93335505295587,
