Edited text,text_nr
Ältere,1
Leitkühe,1
treffen,1
bessere,1
Entscheidungen,1
für,1
ihre,1
Herde,1
als,1
junge,1
Die,1
Chefin,1
der,1
Elefanten,1
muss,1
wichtige,1
Entscheidungen,1
für,1
die,1
Gemeinschaft,1
treffen,1
beispielsweise,1
wohin,1
die,1
Herde,1
geht,1
oder,1
wie,1
man,1
sich,1
gegen,1
Löwen,1
verteidigt,1
Biologen,1
konnten,1
in,1
Kenia,1
zeigen,1
dass,1
die,1
älteren,1
Tiere,1
ihre,1
Herden,1
beim,1
Gebrüll,1
eines,1
männlichen,1
Löwen,1
stärker,1
warnen,1
als,1
bei,1
dem,1
einer,1
Löwin,1
Denn,1
Löwen,1
sind,1
für,1
junge,1
Elefanten,1
gefährlicher,1
Jüngere,1
Chefinnen,1
machten,1
diesen,1
Unterschied,1
kaum,1
Afrikanische,1
Elefanten,1
können,1
in,1
freier,1
Wildbahn,1
bis,1
zu,1
70,1
Jahre,1
alt,1
werden,1
Die,1
nützliche,1
Erfahrung,1
älterer,1
Tiere,1
könnte,1
ein,1
Grund,1
dafür,1
sein,1
In,2
Tansania,2
haben,2
Forscher,2
Überreste,2
eines,2
UrzeitKrokodils,2
entdeckt,2
Es,2
zeigt,2
Ähnlichkeiten,2
zu,2
Säugetieren,2
Es,2
war,2
so,2
groß,2
wie,2
eine,2
Katze,2
Das,2
Tier,2
lebte,2
vor,2
etwa,2
105,2
Millionen,2
Jahren,2
und,2
jagte,2
an,2
Land,2
nach,2
Insekten,2
und,2
kleinen,2
Tieren,2
Es,2
besaß,2
ungewöhnliche,2
Merkmale,2
wie,2
weniger,2
Zähne,2
und,2
hatte,2
Backenzähne,2
zum,2
Kauen,2
von,2
Nahrung,2
Außerdem,2
war,2
es,2
weniger,2
gepanzert,2
Die,2
Forscher,2
denken,2
dass,2
Krokodile,2
in,2
der,2
Vergangenheit,2
auf,2
der,2
Südhalbkugel,2
lebten,2
während,2
sich,2
Säugetiere,2
auf,2
der,2
Nordhalbkugel,2
ausbreiteten,2
Die,2
Forscher,2
werden,2
in,2
Zukunft,2
versuchen,2
mehr,2
über,2
die,2
frühe,2
Tierwelt,2
auf,2
der,2
Südhalbkugel,2
zu,2
erfahren,2
OrangUtans,3
bauen,3
sich,3
jede,3
Nacht,3
gemütliche,3
Schlafnester,3
hoch,3
in,3
den,3
Bäumen,3
Diese,3
Nester,3
bestehen,3
aus,3
Ästen,3
und,3
Blättern,3
und,3
bieten,3
den,3
Affen,3
Komfort,3
und,3
Schutz,3
Forscher,3
haben,3
entdeckt,3
dass,3
OrangUtans,3
sehr,3
geschickt,3
vorgehen,3
Sie,3
wählen,3
stabile,3
Äste,3
aus,3
und,3
biegen,3
diese,3
ohne,3
sie,3
ganz,3
zu,3
brechen,3
So,3
entsteht,3
eine,3
robuste,3
Grundstruktur,3
Die,3
Polsterung,3
der,3
Nester,3
besteht,3
aus,3
dünneren,3
Ästen,3
und,3
macht,3
das,3
Nest,3
besonders,3
bequem,3
Diese,3
Bauweise,3
schützt,3
die,3
OrangUtans,3
nicht,3
nur,3
vor,3
dem,3
Herunterfallen,3
sondern,3
auch,3
vor,3
Feinden,3
und,3
Parasiten,3
So,3
schlafen,3
die,3
Primaten,3
sicher,3
und,3
komfortabel,3
in,3
ihren,3
Nestern,3
Manche,4
Orte,4
sind,4
nur,4
aus,4
der,4
Luft,4
wirklich,4
zugänglich,4
Bertus,4
Schoeman,4
fliegt,4
oft,4
mit,4
seinem,4
Flugzeug,4
über,4
die,4
unwirtliche,4
aber,4
trotzdem,4
wunderschöne,4
Küste,4
Namibias,4
Er,4
zeigt,4
Touristen,4
die,4
beeindruckenden,4
Schiffswracks,4
und,4
die,4
einzigartigen,4
Landschaften,4
von,4
oben,4
Vom,4
Flugzeug,4
aus,4
sieht,4
man,4
die,4
Küste,4
des,4
Landes,4
die,4
sich,4
von,4
Südafrika,4
bis,4
nach,4
Angola,4
erstreckt,4
Auch,4
verschiedene,4
Tiere,4
wie,4
die,4
berühmten,4
