blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,empty_placeholder.started,word,colour,target,nback_response,nback_RT,block_kind,duration,text_nr,block_nr,trial_nr,participant,age,handedness,gender,testing_mode,date,expName,psychopyVersion,frameRate,
0,0,0,0,15.483448535000207,Auf,#88BA3F,None,None,None,None,0.6311687679990428,reading_bl_training_text,Reading_Baseline_training,1,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,dem,#88BA3F,None,None,None,None,0.25367945501056965,reading_bl_training_text,Reading_Baseline_training,2,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,großen,#F989A2,None,None,None,None,0.20148756699927617,reading_bl_training_text,Reading_Baseline_training,3,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,"Passagierdampfer,",#2AB7EF,None,None,None,None,0.4092244670027867,reading_bl_training_text,Reading_Baseline_training,4,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,der,#D292F3,None,None,None,None,0.3887696239980869,reading_bl_training_text,Reading_Baseline_training,5,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,um,#D292F3,None,None,None,None,0.35844231500232127,reading_bl_training_text,Reading_Baseline_training,6,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Mitternacht,#F989A2,None,None,None,None,0.3749394220067188,reading_bl_training_text,Reading_Baseline_training,7,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,von,#D292F3,None,None,None,None,0.3732647709985031,reading_bl_training_text,Reading_Baseline_training,8,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,New,#F989A2,None,None,None,None,0.33624725400295574,reading_bl_training_text,Reading_Baseline_training,9,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,York,#2AB7EF,None,None,None,None,0.3603800010023406,reading_bl_training_text,Reading_Baseline_training,10,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,nach,#88BA3F,None,None,None,None,0.3267633469949942,reading_bl_training_text,Reading_Baseline_training,11,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Buenos,#2AB7EF,None,None,None,None,0.3433159970009001,reading_bl_training_text,Reading_Baseline_training,12,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Aires,#2AB7EF,None,None,None,None,0.3489430199988419,reading_bl_training_text,Reading_Baseline_training,13,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,abgehen,#88BA3F,None,None,None,None,0.3299391309992643,reading_bl_training_text,Reading_Baseline_training,14,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,"sollte,",#D292F3,None,None,None,None,0.335558751001372,reading_bl_training_text,Reading_Baseline_training,15,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,herrschte,#F989A2,None,None,None,None,0.32881571899633855,reading_bl_training_text,Reading_Baseline_training,16,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,die,#F989A2,None,None,None,None,0.3517529039963847,reading_bl_training_text,Reading_Baseline_training,17,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,übliche,#88BA3F,None,None,None,None,0.30288487300276756,reading_bl_training_text,Reading_Baseline_training,18,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Geschäftigkeit,#F989A2,None,None,None,None,0.34388409499661066,reading_bl_training_text,Reading_Baseline_training,19,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,und,#88BA3F,None,None,None,None,0.31420601799618453,reading_bl_training_text,Reading_Baseline_training,20,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Bewegung,#2AB7EF,None,None,None,None,0.3188770989945624,reading_bl_training_text,Reading_Baseline_training,21,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,der,#D292F3,None,None,None,None,0.31723346300714184,reading_bl_training_text,Reading_Baseline_training,22,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,letzten,#2AB7EF,None,None,None,None,0.28978125999856275,reading_bl_training_text,Reading_Baseline_training,23,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Stunde.,#D292F3,None,None,None,None,0.29087663600512315,reading_bl_training_text,Reading_Baseline_training,24,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Gäste,#88BA3F,None,None,None,None,0.3163180160045158,reading_bl_training_text,Reading_Baseline_training,25,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,vom,#88BA3F,None,None,None,None,0.28436466000857763,reading_bl_training_text,Reading_Baseline_training,26,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Land,#D292F3,None,None,None,None,0.2837166070094099,reading_bl_training_text,Reading_Baseline_training,27,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,drängten,#D292F3,None,None,None,None,0.30926392899709754,reading_bl_training_text,Reading_Baseline_training,28,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,"durcheinander,",#88BA3F,None,None,None,None,0.3123031550057931,reading_bl_training_text,Reading_Baseline_training,29,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,um,#F989A2,None,None,None,None,0.31664603800163604,reading_bl_training_text,Reading_Baseline_training,30,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,ihren,#2AB7EF,None,None,None,None,1.0598002040060237,reading_bl_training_text,Reading_Baseline_training,31,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Freunden,#2AB7EF,None,None,None,None,0.4654191930021625,reading_bl_training_text,Reading_Baseline_training,32,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,das,#D292F3,None,None,None,None,0.5739350539952284,reading_bl_training_text,Reading_Baseline_training,33,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Geleit,#2AB7EF,None,None,None,None,0.5565690379880834,reading_bl_training_text,Reading_Baseline_training,34,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,zu,#F989A2,None,None,None,None,0.44656900499830954,reading_bl_training_text,Reading_Baseline_training,35,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,"geben,",#F989A2,None,None,None,None,0.535242723999545,reading_bl_training_text,Reading_Baseline_training,36,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Telegraphenboys,#88BA3F,None,None,None,None,1.4733674080052879,reading_bl_training_text,Reading_Baseline_training,37,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,mit,#88BA3F,None,None,None,None,0.525550980004482,reading_bl_training_text,Reading_Baseline_training,38,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,schiefen,#2AB7EF,None,None,None,None,0.4597404959931737,reading_bl_training_text,Reading_Baseline_training,39,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Mützen,#F989A2,None,None,None,None,0.4445969850057736,reading_bl_training_text,Reading_Baseline_training,40,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,schossen,#D292F3,None,None,None,None,0.47518588999810163,reading_bl_training_text,Reading_Baseline_training,41,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Namen,#2AB7EF,None,None,None,None,0.4855442549887812,reading_bl_training_text,Reading_Baseline_training,42,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,ausrufend,#D292F3,None,None,None,None,0.45222912600729614,reading_bl_training_text,Reading_Baseline_training,43,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,durch,#F989A2,None,None,None,None,0.44116750500688795,reading_bl_training_text,Reading_Baseline_training,44,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,die,#F989A2,None,None,None,None,0.4327611270127818,reading_bl_training_text,Reading_Baseline_training,45,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,"Gesellschaftsräume,",#2AB7EF,None,None,None,None,0.4517390399996657,reading_bl_training_text,Reading_Baseline_training,46,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Koffer,#88BA3F,None,None,None,None,0.44548764600767754,reading_bl_training_text,Reading_Baseline_training,47,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,und,#D292F3,None,None,None,None,0.40830167300009634,reading_bl_training_text,Reading_Baseline_training,48,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Blumen,#88BA3F,None,None,None,None,0.46333139899070375,reading_bl_training_text,Reading_Baseline_training,49,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,wurden,#2AB7EF,None,None,None,None,0.4541572659945814,reading_bl_training_text,Reading_Baseline_training,50,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,"geschleppt,",#D292F3,None,None,None,None,0.4248518770036753,reading_bl_training_text,Reading_Baseline_training,51,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Kinder,#F989A2,None,None,None,None,0.4181972200021846,reading_bl_training_text,Reading_Baseline_training,52,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,liefen,#D292F3,None,None,None,None,0.40456317499047145,reading_bl_training_text,Reading_Baseline_training,53,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,neugierig,#88BA3F,None,None,None,None,0.4151938699942548,reading_bl_training_text,Reading_Baseline_training,54,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,treppauf,#88BA3F,None,None,None,None,0.4327971710008569,reading_bl_training_text,Reading_Baseline_training,55,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,und,#2AB7EF,None,None,None,None,0.42315754799346905,reading_bl_training_text,Reading_Baseline_training,56,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
